S	V	tags
2.3900000000000002e-8	1	NA
2.3925e-8	1	NA
2.395e-8	1	NA
2.3975e-8	1	NA
2.4e-8	1	NA
2.4025000000000002e-8	1	NA
2.405e-8	1	NA
2.4075000000000002e-8	1	NA
2.41e-8	1	NA
2.4125e-8	1	NA
2.415e-8	1	NA
2.4175e-8	1	NA
2.42e-8	1	NA
2.4225e-8	1	NA
2.4250000000000002e-8	1	NA
2.4275e-8	1	NA
2.4300000000000003e-8	1	NA
2.4325e-8	1	NA
2.435e-8	1	NA
2.4375e-8	1	NA
2.44e-8	1	NA
2.4425000000000002e-8	1	NA
2.445e-8	1	NA
2.4475000000000002e-8	1	NA
2.45e-8	1	NA
2.4525e-8	1	NA
2.455e-8	1	NA
2.4575e-8	1	NA
2.4600000000000002e-8	1	NA
2.4625e-8	1	NA
2.4650000000000002e-8	1	NA
2.4675e-8	1	NA
2.47e-8	1	NA
2.4725e-8	1	NA
2.475e-8	1	NA
2.4775000000000002e-8	1	NA
2.48e-8	1	NA
2.4825000000000002e-8	1	NA
2.485e-8	1	NA
2.4875e-8	1	NA
2.49e-8	1	NA
2.4925e-8	1	NA
2.4950000000000002e-8	1	NA
2.4975e-8	1	NA
2.5000000000000002e-8	1	NA
2.5025e-8	1	NA
2.505e-8	1	4T - 1T
2.5075e-8	-1	NA
2.51e-8	-1	NA
2.5125e-8	-1	NA
2.515e-8	-1	NA
2.5175000000000002e-8	-1	NA
2.52e-8	-1	NA
2.5225000000000003e-8	-1	NA
2.525e-8	-1	NA
2.5275e-8	-1	NA
2.53e-8	-1	NA
2.5325e-8	-1	NA
2.5350000000000002e-8	-1	NA
2.5375e-8	-1	NA
2.5400000000000002e-8	-1	NA
2.5425e-8	-1	NA
2.545e-8	-1	NA
2.5475e-8	-1	NA
2.55e-8	-1	NA
2.5525000000000002e-8	-1	NA
2.555e-8	-1	NA
2.5575000000000002e-8	-1	NA
2.56e-8	-1	NA
2.5625e-8	-1	NA
2.565e-8	-1	NA
2.5675e-8	-1	NA
2.5700000000000002e-8	-1	NA
2.5725e-8	-1	NA
2.5750000000000002e-8	-1	NA
